date,sku_id,daypart,sku_name,sku_category,base_quantity_sold,avg_unit_price,outlet_id,outlet_name,outlet_type,outlet_factor,daypart_factor,demand_noise,day_of_week,is_weekend,month,week_of_year,day_of_year,weather_condition,rain_mm,temperature,is_holiday,holiday_name,promo_flag,promo_type,event_flag,event_description,estimated_true_demand,planned_prep,actual_sales,waste_units,stockout_units,recent_waste_pressure,recent_stockout_pressure,recovered_demand,lag_7,lag_30,rolling_mean_7,rolling_mean_30,predicted_p50,group_key,predicted_p10,predicted_p90,recommended_prep_qty,decision_posture,expected_waste_units,expected_stockout_units,expected_cost,explanation
2026-05-01,blueberry_muffin,evening,Blueberry Muffin,Dessert,0,3.8,bangsar_street,Bangsar Street,street_cafe,0.92,0.9,1.067910213022529,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|evening,0.0,1.2309326506841016,0,above_p50_service_protection,0.0,1.2286894111517974e-09,5.8362747029710375e-09,"For Blueberry Muffin at Bangsar Street during evening, forecast demand range is 0-1 units with median 0. Recommended prep is 0 units."
2026-05-01,blueberry_muffin,midday,Blueberry Muffin,Dessert,0,3.8,bangsar_street,Bangsar Street,street_cafe,0.92,1.0,1.192919288836952,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|midday,0.0,0.4429844387354475,0,above_p50_service_protection,0.0,1.2286894111517974e-09,5.8362747029710375e-09,"For Blueberry Muffin at Bangsar Street during midday, forecast demand range is 0-0 units with median 0. Recommended prep is 0 units."
2026-05-01,blueberry_muffin,morning,Blueberry Muffin,Dessert,0,3.8,bangsar_street,Bangsar Street,street_cafe,0.92,1.1,0.9879495691854404,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|morning,0.0,0.344744682494817,0,above_p50_service_protection,0.0,1.2286894111517974e-09,5.8362747029710375e-09,"For Blueberry Muffin at Bangsar Street during morning, forecast demand range is 0-0 units with median 0. Recommended prep is 0 units."
2026-05-01,brioche,evening,Brioche,Pastry,0,3.8,bangsar_street,Bangsar Street,street_cafe,0.92,0.9,0.982344929813582,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.5714285714285714,0.3666666666666666,0.2147079180953081,Pastry|evening,0.0,2.9584220230774365,5,above_p50_service_protection,4.785292081904692,0.0,8.182849460057023,"For Brioche at Bangsar Street during evening, forecast demand range is 0-3 units with median 0. Recommended prep is 5 units."
2026-05-01,brioche,midday,Brioche,Pastry,0,3.8,bangsar_street,Bangsar Street,street_cafe,0.92,1.0,0.9792947853469376,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,1.0,0.0,0.2857142857142857,0.3333333333333333,0.5916988581657975,Pastry|midday,0.0,3.962816025282453,5,above_p50_service_protection,4.408301141834203,0.0,7.538194952536487,"For Brioche at Bangsar Street during midday, forecast demand range is 0-4 units with median 1. Recommended prep is 5 units."
2026-05-01,brioche,morning,Brioche,Pastry,2,6.0,bangsar_street,Bangsar Street,street_cafe,0.92,1.1,1.015340004354247,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,2,2,2,0,0,0,0,2,0.0,0.0,1.5714285714285714,1.2,0.4562176938306793,Pastry|morning,0.0,9.619679467384977,10,above_p50_service_protection,9.543782306169321,0.0,25.76821222665717,"For Brioche at Bangsar Street during morning, forecast demand range is 0-10 units with median 0. Recommended prep is 10 units."
2026-05-01,brownie,evening,Brownie,Dessert,0,4.0,bangsar_street,Bangsar Street,street_cafe,0.92,0.9,1.0318677500263798,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|evening,0.0,1.2309326506841016,0,above_p50_service_protection,0.0,1.2286894111517974e-09,6.143447055758987e-09,"For Brownie at Bangsar Street during evening, forecast demand range is 0-1 units with median 0. Recommended prep is 0 units."
2026-05-01,brownie,midday,Brownie,Dessert,0,4.0,bangsar_street,Bangsar Street,street_cafe,0.92,1.0,0.931515280405548,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|midday,0.0,0.4429844387354475,0,above_p50_service_protection,0.0,1.2286894111517974e-09,6.143447055758987e-09,"For Brownie at Bangsar Street during midday, forecast demand range is 0-0 units with median 0. Recommended prep is 0 units."
2026-05-01,brownie,morning,Brownie,Dessert,0,4.0,bangsar_street,Bangsar Street,street_cafe,0.92,1.1,0.8594998577671888,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|morning,0.0,0.344744682494817,0,above_p50_service_protection,0.0,1.2286894111517974e-09,6.143447055758987e-09,"For Brownie at Bangsar Street during morning, forecast demand range is 0-0 units with median 0. Recommended prep is 0 units."
2026-05-01,butter_croissant,evening,Butter Croissant,Pastry,3,1.2,bangsar_street,Bangsar Street,street_cafe,0.92,0.9,1.0049080690790688,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,2,2,2,0,0,0,0,2,2.0,5.0,2.571428571428572,2.5,1.365441711281155,Pastry|evening,0.0,4.109155816263284,5,above_p50_service_protection,3.634558288718845,0.0,1.9626614759081764,"For Butter Croissant at Bangsar Street during evening, forecast demand range is 0-4 units with median 1. Recommended prep is 5 units."
2026-05-01,butter_croissant,midday,Butter Croissant,Pastry,5,1.2,bangsar_street,Bangsar Street,street_cafe,0.92,1.0,1.023938801911361,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,5,5,5,0,0,0,0,5,3.0,9.0,5.0,3.9,1.902150729122225,Pastry|midday,0.0,5.273267896238881,5,above_p50_service_protection,3.097849270877775,0.0,1.6728386062739986,"For Butter Croissant at Bangsar Street during midday, forecast demand range is 0-5 units with median 2. Recommended prep is 5 units."
2026-05-01,butter_croissant,morning,Butter Croissant,Pastry,20,1.2363636363636363,bangsar_street,Bangsar Street,street_cafe,0.92,1.1,0.9554121440134584,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,19,20,19,1,0,1,0,19,27.0,33.0,32.57142857142857,33.13333333333333,21.034262917019383,Pastry|morning,11.08791182254424,30.19772469057368,30,above_p50_service_protection,8.965737082980617,0.0,4.988210086167398,"For Butter Croissant at Bangsar Street during morning, forecast demand range is 11-30 units with median 21. Recommended prep is 30 units."
2026-05-01,cake_slice,evening,Cake Slice,Dessert,0,6.2,bangsar_street,Bangsar Street,street_cafe,0.92,0.9,1.0595048672199938,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|evening,0.0,1.2309326506841016,0,above_p50_service_protection,0.0,1.2286894111517974e-09,9.52234293642643e-09,"For Cake Slice at Bangsar Street during evening, forecast demand range is 0-1 units with median 0. Recommended prep is 0 units."
2026-05-01,cake_slice,midday,Cake Slice,Dessert,0,6.2,bangsar_street,Bangsar Street,street_cafe,0.92,1.0,0.7291589870599444,4,0,5,18,121,light_rain,3.4,28.2,0,,0,,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.2286894111517974e-09,Dessert|midday,0.0,0.4429844387354475,0,above_p50_service_protection,0.0,1.2286894111517974e-09,9.52234293642643e-09,"For Cake Slice at Bangsar Street during midday, forecast demand range is 0-0 units with median 0. Recommended prep is 0 units."
