date,sku_id,daypart,sku_name,sku_category,base_quantity_sold,avg_unit_price,outlet_id,outlet_name,outlet_type,outlet_factor,daypart_factor,demand_noise,day_of_week,is_weekend,month,week_of_year,day_of_year,weather_condition,rain_mm,temperature,is_holiday,holiday_name,promo_flag,promo_type,event_flag,event_description,estimated_true_demand,planned_prep,actual_sales,waste_units,stockout_units,recent_waste_pressure,recent_stockout_pressure
2025-11-02,traditional_baguette,morning,Traditional Baguette,Bread,128,1.2125,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0243773663803546,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,170,152,152,0,18,0,1
2025-11-02,traditional_baguette,midday,Traditional Baguette,Bread,112,1.21484375,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9168012715007604,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,121,117,117,0,4,0,1
2025-11-02,traditional_baguette,evening,Traditional Baguette,Bread,0,3.2,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0600360956645165,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,butter_croissant,morning,Butter Croissant,Pastry,64,1.192,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0752451773112972,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,89,68,68,0,21,0,1
2025-11-02,butter_croissant,midday,Butter Croissant,Pastry,8,1.15,klcc_mall,KLCC Mall,mall,1.18,1.0,0.8439171849076931,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,8,7,7,0,1,0,1
2025-11-02,butter_croissant,evening,Butter Croissant,Pastry,0,4.25,klcc_mall,KLCC Mall,mall,1.18,0.9,0.8958256394510146,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,pain_au_chocolat,morning,Pain au Chocolat,Pastry,27,1.25,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0102272322533827,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,35,31,31,0,4,0,1
2025-11-02,pain_au_chocolat,midday,Pain au Chocolat,Pastry,5,1.25,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9747005926125134,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,6,5,5,0,1,0,1
2025-11-02,pain_au_chocolat,evening,Pain au Chocolat,Pastry,0,4.4,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9986559073996568,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,country_sourdough,morning,Country Sourdough,Bread,36,1.7055555555555555,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9317564857941136,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,44,38,38,0,6,0,1
2025-11-02,country_sourdough,midday,Country Sourdough,Bread,10,1.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0703518379890262,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,13,12,12,0,1,0,1
2025-11-02,country_sourdough,evening,Country Sourdough,Bread,0,6.0,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0622233548343158,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,blueberry_muffin,morning,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0052824558048974,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,blueberry_muffin,midday,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0901792965574426,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
2025-11-02,blueberry_muffin,evening,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0374007473801636,6,1,11,44,306,clear,0.0,29.5,0,,0,,1,mall_weekend_traffic,0,0,0,0,0,0,0
